stock,date,value
google,2019-01-02,1045.849976
google,2019-01-03,1016.059998
google,2019-01-04,1070.709961
google,2019-01-07,1068.390015
google,2019-01-08,1076.280029
google,2019-01-09,1074.660034
google,2019-01-10,1070.329956
google,2019-01-11,1057.189941
google,2019-01-14,1044.689941
google,2019-01-15,1077.150024
google,2019-01-16,1080.969971
google,2019-01-17,1089.900024
google,2019-01-18,1098.26001
google,2019-01-22,1070.52002
google,2019-01-23,1075.569946
google,2019-01-24,1073.900024
google,2019-01-25,1090.98999
google,2019-01-28,1070.079956
google,2019-01-29,1060.619995
google,2019-01-30,1089.060059
google,2019-01-31,1116.369995
google,2019-02-01,1110.75
google,2019-02-04,1132.800049
google,2019-02-05,1145.98999
google,2019-02-06,1115.22998
google,2019-02-07,1098.709961
google,2019-02-08,1095.060059
google,2019-02-11,1095.01001
google,2019-02-12,1121.369995
google,2019-02-13,1120.160034
google,2019-02-14,1121.670044
google,2019-02-15,1113.650024
google,2019-02-19,1118.560059
google,2019-02-20,1113.800049
google,2019-02-21,1096.969971
google,2019-02-22,1110.369995
google,2019-02-25,1109.400024
google,2019-02-26,1115.130005
google,2019-02-27,1116.050049
google,2019-02-28,1119.920044
google,2019-03-01,1140.98999
google,2019-03-04,1147.800049
google,2019-03-05,1162.030029
google,2019-03-06,1157.859985
google,2019-03-07,1143.300049
google,2019-03-08,1142.319946
google,2019-03-11,1175.76001
google,2019-03-12,1193.199951
google,2019-03-13,1193.319946
google,2019-03-14,1185.550049
google,2019-03-15,1184.459961
google,2019-03-18,1184.26001
google,2019-03-19,1198.849976
google,2019-03-20,1223.969971
google,2019-03-21,1231.540039
google,2019-03-22,1205.5
google,2019-03-25,1193
google,2019-03-26,1184.619995
google,2019-03-27,1173.02002
google,2019-03-28,1168.48999
google,2019-03-29,1173.310059
google,2019-04-01,1194.430054
google,2019-04-02,1200.48999
google,2019-04-03,1205.920044
google,2019-04-04,1215
google,2019-04-05,1207.150024
google,2019-04-08,1203.839966
google,2019-04-09,1197.25
google,2019-04-10,1202.160034
